publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Journal of Hospitality and Tourism Management	1447-6770	1839-5260	2006-04-01	13	01				http://journals.cambridge.org/action/displayBackIssues?jid=JHT		JHT		fulltext		Cambridge University Press	Serial								P	
Journal of Institutional Economics	1744-1374	1744-1382	2005-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JOI		JOI		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JOI&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of K-Theory	1865-2433	1865-5394	2008-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=KAG		KAG		fulltext		Cambridge University Press	Serial								P	
Journal of Latin American Studies	0022-216X	1469-767X	1969-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LAS		LAS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=LAS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Law and Religion	0748-0814	2163-3088	1983-01-01	1	02				http://journals.cambridge.org/action/displayBackIssues?jid=JLR		JLR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JLR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Linguistic Geography	n/a	2049-7547	2013-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JLG		JLG		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JLG&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Linguistics	0022-2267	1469-7742	1965-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LIN		LIN		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=LIN&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Management & Organization	1833-3672	1839-3527	2006-06-01	12	01				http://journals.cambridge.org/action/displayBackIssues?jid=JMO		JMO		fulltext		Cambridge University Press	Serial								P	
Journal of Materials Research	0884-2914	2044-5326	1986-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JMR		JMR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JMR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Mechanics	1727-7191	1811-8216	1998-03-01	14	01				http://journals.cambridge.org/action/displayBackIssues?jid=JOM		JOM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JOM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Nutritional Science	2048-6790		2012-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=JNS		JNS		fulltext		Cambridge University Press	Serial								F	
Journal of Pacific Rim Psychology	n/a	1834-4909	2007-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PRP		PRP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PRP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Paleontology	0022-3360	1937-2337	2015-01-01	89	01				http://journals.cambridge.org/action/displayBackIssues?jid=JPA		JPA		fulltext		Cambridge University Press	Serial								P	
Journal of Pension Economics and Finance	1474-7472	1475-3022	2002-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PEF		PEF		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PEF&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Plasma Physics	0022-3778	1469-7807	1967-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PLA		PLA		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PLA&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Policy History	0898-0306	1528-4190	1989-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JPH		JPH		fulltext		Cambridge University Press	Serial								P	
Journal of Psychiatric Intensive Care	1742-6464	1744-2206	2005-09-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JPI		JPI		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JPI&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Psychologists and Counsellors in Schools	1037-2911	1839-2520	2005-07-01	15	01				http://journals.cambridge.org/action/displayBackIssues?jid=JGC		JGC		fulltext		Cambridge University Press	Serial								P	
Journal of Public Policy	0143-814X	1469-7815	1981-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PUP		PUP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PUP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Radiotherapy in Practice	1460-3969	1467-1131	1999-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JRP		JRP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JRP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Relationships Research	n/a	1838-0956	2010-11-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JRR		JRR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JRR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Roman Archaeology	1047-7594	2331-5709	1988-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=JRO		JRO		fulltext		Cambridge University Press	Serial								P	
Journal of Smoking Cessation	n/a	1834-2612	2006-10-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JSC		JSC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JSC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Social Policy	0047-2794	1469-7823	1972-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JSP		JSP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JSP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Southeast Asian History	0217-7811	0217-7811	1960-03-01	1	01	1969-09-01	10	03	http://journals.cambridge.org/action/displayBackIssues?jid=SEH		SEH		fulltext		Cambridge University Press	Serial								P	
Journal of Southeast Asian Studies	0022-4634	1474-0680	1970-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=SEA		SEA		fulltext		Cambridge University Press	Serial							SEH	P	
Journal of Symbolic Logic	0022-4812	1943-5886	1936-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JSL		JSL		fulltext		Cambridge University Press	Serial								P	
Journal of Systematic Palaeontology	1477-2019	1478-0941	2003-03-01	1	01	2009-12-01	7	04	http://journals.cambridge.org/action/displayBackIssues?jid=SYP		SYP		fulltext		Cambridge University Press	Serial								P	
Journal of Tropical Ecology	0266-4674	1469-7831	1985-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=TRO		TRO		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=TRO&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Tropical Psychology	n/a	1838-9902	2011-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JTP		JTP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JTP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Wine Economics	1931-4361	1931-437X	2006-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JWE		JWE		fulltext		Cambridge University Press	Serial								P	
Journal of Zoology	0952-8369	1469-7998	1998-01-01	244	01				http://journals.cambridge.org/action/displayBackIssues?jid=ZOO		ZOO		fulltext		Cambridge University Press	Serial								P	
Journal of the American Philosophical Association	2053-4477	2053-4485	2015-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=APA		APA		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=APA&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of the Australian Mathematical Society	1446-7887	1446-8107	1959-08-01	1	01	2015-08-01	99	01	http://journals.cambridge.org/action/displayBackIssues?jid=JAZ		JAZ		fulltext		Cambridge University Press	Serial								P	
Journal of the History of Economic Thought	1053-8372	1469-9656	1979-06-01	1	02				http://journals.cambridge.org/action/displayBackIssues?jid=HET		HET		fulltext		Cambridge University Press	Serial								P	
Journal of the Institute of Actuaries	0020-2681		1974-06-01	101	01	1994-01-01	121	03	http://journals.cambridge.org/action/displayBackIssues?jid=JIA		JIA		fulltext		Cambridge University Press	Serial								P	
Journal of the Institute of Mathematics of Jussieu	1474-7480	1475-3030	2002-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JMJ		JMJ		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JMJ&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of the International Neuropsychological Society	1355-6177	1469-7661	1995-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=INS		INS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=INS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of the International Phonetic Association	0025-1003	1475-3502	1971-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=IPA		IPA		fulltext		Cambridge University Press	Serial								P	
Journal of the London Mathematical Society	0024-6107	1469-7750	1997-02-01	55	01	2006-12-01	74	03	http://journals.cambridge.org/action/displayBackIssues?jid=JLM		JLM		fulltext		Cambridge University Press	Serial								P	
Journal of the Marine Biological Association of the United Kingdom	0025-3154	1469-7769	1887-08-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MBI		MBI		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MBI&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of the Plainsong & Medieval Music Society	0143-4918	0143-4918	1978-01-01	1		1990-11-01	13		http://journals.cambridge.org/action/displayBackIssues?jid=JPM		JPM		fulltext		Cambridge University Press	Serial								P	
Journal of the Royal Asiatic Society	1356-1863	1474-0591	1834-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JRA		JRA		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JRA&tab=openaccess for available Open Access articles	Cambridge University Press	Serial							TRA	P	
Journal of the Society for American Music	1752-1963	1752-1971	2007-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=SAM		SAM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=SAM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of the Staple Inn Actuarial Society	2049-9299		1911-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JIS		JIS		fulltext		Cambridge University Press	Serial								P	
Kantian Review	1369-4154	2044-2394	1997-03-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=KRV		KRV		fulltext		Cambridge University Press	Serial								P	
LMS Journal of Computation and Mathematics	1461-1570	1461-1570	1998-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=JCM		JCM		fulltext		Cambridge University Press	Serial								P	
Language Teaching	0261-4448	1475-3049	1968-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LTA		LTA		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=LTA&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Language Variation and Change	0954-3945	1469-8021	1989-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LVC		LVC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=LVC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Language and Cognition	1866-9808	1866-9859	2009-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LCO		LCO		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=LCO&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Language in Society	0047-4045	1469-8013	1972-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LSY		LSY		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=LSY&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Laser and Particle Beams	0263-0346	1469-803X	1983-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LPB		LPB		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=LPB&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Law and History Review	0738-2480	1939-9022	1983-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LHR		LHR		fulltext		Cambridge University Press	Serial								P	
Legal Information Management	1472-6696	1741-2021	2001-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LIM		LIM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=LIM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Legal Theory	1352-3252	1469-8048	1995-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LEG		LEG		fulltext		Cambridge University Press	Serial								P	
Leiden Journal of International Law	0922-1565	1478-9698	1988-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=LJL		LJL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=LJL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Libyan Studies	0263-7189	2052-6148	1970-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=LIS		LIS		fulltext		Cambridge University Press	Serial								P	
MRS Bulletin	0883-7694	1938-1425	1975-07-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=MRS		MRS		fulltext		Cambridge University Press	Serial								P	
MRS Communications	2159-6859	2159-6867	2011-11-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MRC		MRC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MRC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
MRS Energy & Sustainability - A Review Journal	2329-2229	2329-2237	2014-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=MRE		MRE		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MRE&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
MRS Internet Journal of Nitride Semiconductor Research	1092-5783		1996-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=MIJ		MIJ		fulltext		Cambridge University Press	Serial								P	
MRS Online Proceedings Library	1946-4274		1980-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=OPL		OPL		fulltext		Cambridge University Press	Serial								P	
Macroeconomic Dynamics	1365-1005	1469-8056	1997-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MDY		MDY		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MDY&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Management and Organization Review	1740-8776	1740-8784	2005-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MOR		MOR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MOR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Marine Biodiversity Records	n/a	1755-2672	2008-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=MBD		MBD		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MBD&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Mathematical Modelling of Natural Phenomena	0973-5348	1760-6101	2006-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MNP		MNP		fulltext		EDP Sciences	Serial								P	
Mathematical Proceedings of the Cambridge Philosophical Society	0305-0041	1469-8064	1924-02-01	22	01				http://journals.cambridge.org/action/displayBackIssues?jid=PSP		PSP		fulltext		Cambridge University Press	Serial								P	
Mathematical Structures in Computer Science	0960-1295	1469-8072	1991-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MSC		MSC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MSC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Mathematika	0025-5793	2041-7942	1954-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MTK		MTK		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MTK&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Mechanics & Industry	2257-7777	2257-7750	2004-01-01	5	01				http://journals.cambridge.org/action/displayBackIssues?jid=MIN		MIN		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MIN&tab=openaccess for available Open Access articles	EDP Sciences	Serial								P	
Medical History	0025-7273	2048-8343	1957-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MDH		MDH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MDH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Medieval Philosophy and Theology	1057-0608	1475-4525	1998-03-01	7	01	2003-09-01	11	02	http://journals.cambridge.org/action/displayBackIssues?jid=MPT		MPT		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MPT&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Memoirs of the Entomological Society of Canada	0071-075X		1955-01-01	87	S1	1997-01-01	129	S171	http://journals.cambridge.org/action/displayBackIssues?jid=MCE		MCE		fulltext		Cambridge University Press	Serial								P	
Metallurgical Research & Technology	2271-3646	2271-3654	2000-10-01	97	10				http://journals.cambridge.org/action/displayBackIssues?jid=MET		MET		fulltext		EDP Sciences	Serial								P	
Meteorological Applications	1350-4827	1469-8080	1997-03-01	4	01	2006-12-01	13	S1	http://journals.cambridge.org/action/displayBackIssues?jid=MAP		MAP		fulltext		Cambridge University Press	Serial								P	
Microscopy and Microanalysis	1431-9276	1435-8115	1995-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MAM		MAM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MAM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Modern Asian Studies	0026-749X	1469-8099	1967-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ASS		ASS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ASS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Modern Intellectual History	1479-2443	1479-2451	2004-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MIH		MIH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MIH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Mycological Research	0953-7562	1469-8102	1997-01-01	101	01	2005-12-01	109	12	http://journals.cambridge.org/action/displayBackIssues?jid=MYC		MYC		fulltext		Cambridge University Press	Serial								P	
Mycologist	0269-915X	1474-0605	2002-02-01	16	01	2005-11-01	19	04	http://journals.cambridge.org/action/displayBackIssues?jid=MYT		MYT		fulltext		Cambridge University Press	Serial								P	
Natural Language Engineering	1351-3249	1469-8110	1995-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NLE		NLE		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NLE&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Netherlands International Law Review	0165-070X	1741-6191	1953-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NLR		NLR		fulltext		Cambridge University Press	Serial								P	
Netherlands Journal of Geosciences	0016-7746	1573-9708	2009-03-01	88	01				http://journals.cambridge.org/action/displayBackIssues?jid=NJG		NJG		fulltext		Cambridge University Press	Serial								P	
Netherlands Yearbook of International Law	0167-6768	1574-0951	1970-12-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=NYL		NYL		fulltext		Cambridge University Press	Serial								P	
Network Science	2050-1242	2050-1250	2013-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NWS		NWS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NWS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Neuron Glia Biology	1740-925X	1741-0533	2004-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NGB		NGB		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NGB&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
New Perspectives on Turkey	0896-6346	1305-3299	2012-03-01	46					http://journals.cambridge.org/action/displayBackIssues?jid=NPT		NPT		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NPT&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
New Surveys in the Classics	0533-2451	2052-8531	2006-01-01	36					http://journals.cambridge.org/action/displayBackIssues?jid=NSY		NSY		fulltext		Cambridge University Press	Serial								P	
New Testament Studies	0028-6885	1469-8145	1954-09-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NTS		NTS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NTS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
New Theatre Quarterly	0266-464X	1474-0613	1985-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NTQ		NTQ		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NTQ&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Nineteenth-Century Music Review	1479-4098	2044-8414	2004-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NCM		NCM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NCM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Nordic Journal of Linguistics	0332-5865	1502-4717	1978-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NJL		NJL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NJL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Numerical Mathematics: Theory, Methods and Applications	1004-8979	2079-7338	2011-02-01	4	01				http://journals.cambridge.org/action/displayBackIssues?jid=TMA		TMA		fulltext		Cambridge University Press	Serial								P	
Nurse Prescriber	n/a	1467-1158	2004-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NPR		NPR		fulltext		Cambridge University Press	Serial								P	
Nutrition Research Reviews	0954-4224	1475-2700	1988-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=NRR		NRR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=NRR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Organised Sound	1355-7718	1469-8153	1996-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=OSO		OSO		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=OSO&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Oryx	0030-6053	1365-3008	1950-10-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ORX		ORX		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ORX&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
PASA - Publications of the Astronomical Society of Australia	1323-3580	1448-6083	1997-01-01	14	01				http://journals.cambridge.org/action/displayBackIssues?jid=PAS		PAS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PAS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
PS: Political Science & Politics	1049-0965	1537-5935	1968-12-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PSC		PSC		fulltext		Cambridge University Press	Serial								P	
Paleobiology	0094-8373	1938-5331	2015-01-01	41	01				http://journals.cambridge.org/action/displayBackIssues?jid=PAB		PAB		fulltext		Cambridge University Press	Serial								P	
Palliative & Supportive Care	1478-9515	1478-9523	2003-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PAX		PAX		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PAX&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Papers of the American Society of Church History	1079-9028	1079-9028	1889-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PCH		PCH		fulltext		Cambridge University Press	Serial								P	
Papers of the British School at Rome	0068-2462	2045-239X	1902-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=ROM		ROM		fulltext		Cambridge University Press	Serial								P	
Parasitology	0031-1820	1469-8161	1908-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PAR		PAR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PAR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Perspectives on Politics	1537-5927	1541-0986	2003-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PPS		PPS		fulltext		Cambridge University Press	Serial								P	
Philosophy	0031-8191	1469-817X	1926-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PHI		PHI		fulltext		Cambridge University Press	Serial								P	
Phonology	0952-6757	1469-8188	1984-05-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PHO		PHO		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PHO&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Plainsong and Medieval Music	0961-1371	1474-0087	1992-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PMM		PMM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PMM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial							JPM	P	
Plant Genetic Resources	1479-2621	1479-263X	2003-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PGR		PGR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PGR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Polar Record	0032-2474	1475-3057	1931-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=POL		POL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=POL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Political Science Research and Methods	2049-8470	2049-8489	2013-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RAM		RAM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=RAM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Politics & Gender	1743-923X	1743-9248	2005-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PAG		PAG		fulltext		Cambridge University Press	Serial								P	
Politics and Religion	1755-0483	1755-0491	2008-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RAP		RAP		fulltext		Cambridge University Press	Serial								P	
Popular Music	0261-1430	1474-0095	1981-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PMU		PMU		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=PMU&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Powder Diffraction	0885-7156	1945-7413	1986-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=PDJ		PDJ		fulltext		Cambridge University Press	Serial								P	
